image_id,filename,class_label,collection_date,location,latitude,longitude,width,height,format,file_size_kb,temperature_c,humidity_percent,weather_condition
1,algal_leaf_spot_01.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,97.14,27.2,85,Cloudy
2,algal_leaf_spot_02.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,143.39,27.2,85,Cloudy
3,algal_leaf_spot_03.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,157.38,27.2,85,Cloudy
4,algal_leaf_spot_04.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,125.91,27.2,85,Cloudy
5,algal_leaf_spot_05.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,107.75,27.2,85,Cloudy
6,algal_leaf_spot_06.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,73.59,27.2,85,Cloudy
7,algal_leaf_spot_07.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,71.97,27.2,85,Cloudy
8,algal_leaf_spot_08.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,68.59,27.2,85,Cloudy
9,algal_leaf_spot_09.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,72.63,27.2,85,Cloudy
10,algal_leaf_spot_10.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,79.86,27.2,85,Cloudy
11,algal_leaf_spot_100.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,108.55,26.1,92,Rainy
12,algal_leaf_spot_101.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,101.67,26.1,92,Rainy
13,algal_leaf_spot_102.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,56.22,26.1,92,Rainy
14,algal_leaf_spot_103.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,43.91,26.1,92,Rainy
15,algal_leaf_spot_104.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,59.62,26.1,92,Rainy
16,algal_leaf_spot_105.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,67.09,26.1,92,Rainy
17,algal_leaf_spot_106.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,77.02,26.1,92,Rainy
18,algal_leaf_spot_107.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,60.82,26.1,92,Rainy
19,algal_leaf_spot_108.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,57.47,26.1,92,Rainy
20,algal_leaf_spot_109.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,66.09,26.1,92,Rainy
21,algal_leaf_spot_11.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,76.05,27.2,85,Cloudy
22,algal_leaf_spot_110.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,66.14,26.1,92,Rainy
23,algal_leaf_spot_111.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,58.46,26.1,92,Rainy
24,algal_leaf_spot_112.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,50.12,26.1,92,Rainy
25,algal_leaf_spot_113.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,74.39,26.1,92,Rainy
26,algal_leaf_spot_114.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,61.7,26.1,92,Rainy
27,algal_leaf_spot_115.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,76.31,26.1,92,Rainy
28,algal_leaf_spot_116.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,81.93,26.1,92,Rainy
29,algal_leaf_spot_117.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,74.39,26.1,92,Rainy
30,algal_leaf_spot_118.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,57.71,26.1,92,Rainy
31,algal_leaf_spot_119.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,76.31,26.1,92,Rainy
32,algal_leaf_spot_12.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,50.71,27.2,85,Cloudy
33,algal_leaf_spot_13.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,74.39,27.2,85,Cloudy
34,algal_leaf_spot_14.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,54.63,27.2,85,Cloudy
35,algal_leaf_spot_15.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,60.76,27.2,85,Cloudy
36,algal_leaf_spot_16.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,66.09,27.2,85,Cloudy
37,algal_leaf_spot_17.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,81.92,27.2,85,Cloudy
38,algal_leaf_spot_18.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,73.42,27.2,85,Cloudy
39,algal_leaf_spot_19.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,59.96,27.2,85,Cloudy
40,algal_leaf_spot_20.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,75.13,27.2,85,Cloudy
41,algal_leaf_spot_21.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,82.16,27.2,85,Cloudy
42,algal_leaf_spot_22.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,56.22,27.2,85,Cloudy
43,algal_leaf_spot_23.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,46.46,27.2,85,Cloudy
44,algal_leaf_spot_24.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,57.71,27.2,85,Cloudy
45,algal_leaf_spot_25.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,60.75,27.2,85,Cloudy
46,algal_leaf_spot_26.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,67.82,27.2,85,Cloudy
47,algal_leaf_spot_27.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,61.82,27.2,85,Cloudy
48,algal_leaf_spot_28.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,50.71,27.2,85,Cloudy
49,algal_leaf_spot_29.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,75.13,27.2,85,Cloudy
50,algal_leaf_spot_30.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,67.31,27.2,85,Cloudy
51,algal_leaf_spot_31.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,81.34,27.2,85,Cloudy
52,algal_leaf_spot_32.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,81.02,27.2,85,Cloudy
53,algal_leaf_spot_33.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,47.21,27.2,85,Cloudy
54,algal_leaf_spot_34.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,67.82,27.2,85,Cloudy
55,algal_leaf_spot_35.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,69.8,27.2,85,Cloudy
56,algal_leaf_spot_36.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,68.81,27.2,85,Cloudy
57,algal_leaf_spot_37.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,51.29,27.2,85,Cloudy
58,algal_leaf_spot_38.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,59.24,27.2,85,Cloudy
59,algal_leaf_spot_39.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,75.13,27.2,85,Cloudy
60,algal_leaf_spot_40.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,44.45,27.2,85,Cloudy
61,algal_leaf_spot_41.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,91.07,27.2,85,Cloudy
62,algal_leaf_spot_42.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,76.31,27.2,85,Cloudy
63,algal_leaf_spot_43.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,58.44,27.2,85,Cloudy
64,algal_leaf_spot_44.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,57.75,27.2,85,Cloudy
65,algal_leaf_spot_45.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,82.16,27.2,85,Cloudy
66,algal_leaf_spot_46.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,87.91,27.2,85,Cloudy
67,algal_leaf_spot_47.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,85.03,27.2,85,Cloudy
68,algal_leaf_spot_48.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,70.77,27.2,85,Cloudy
69,algal_leaf_spot_49.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,75.74,27.2,85,Cloudy
70,algal_leaf_spot_50.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,78.45,27.2,85,Cloudy
71,algal_leaf_spot_51.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,78.24,27.2,85,Cloudy
72,algal_leaf_spot_52.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,81.52,27.2,85,Cloudy
73,algal_leaf_spot_53.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,81.02,27.2,85,Cloudy
74,algal_leaf_spot_54.jpg,algal_leaf_spot,8/20/2025,Jahangirnagar University,23.87781132,90.26664405,640,640,JPEG,69.9,27.2,85,Cloudy
75,algal_leaf_spot_55.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,71.73,26.1,92,Rainy
76,algal_leaf_spot_56.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,111.37,26.1,92,Rainy
77,algal_leaf_spot_57.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,114.36,26.1,92,Rainy
78,algal_leaf_spot_58.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,91.27,26.1,92,Rainy
79,algal_leaf_spot_59.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,121.49,26.1,92,Rainy
80,algal_leaf_spot_60.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,89.28,26.1,92,Rainy
81,algal_leaf_spot_61.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,92.41,26.1,92,Rainy
82,algal_leaf_spot_62.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,83.99,26.1,92,Rainy
83,algal_leaf_spot_63.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,104.41,26.1,92,Rainy
84,algal_leaf_spot_64.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,93.45,26.1,92,Rainy
85,algal_leaf_spot_65.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,98.95,26.1,92,Rainy
86,algal_leaf_spot_66.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,162.32,26.1,92,Rainy
87,algal_leaf_spot_67.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,67.41,26.1,92,Rainy
88,algal_leaf_spot_68.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,95.49,26.1,92,Rainy
89,algal_leaf_spot_69.jpg,algal_leaf_spot,8/22/2025,National Botanical Garden,23.81303227,90.34760052,640,640,JPEG,99.55,26.1,92,Rainy
